title,year,director,genre,producer,country,actors,length,budget
Побег из Шоушенка,1994,Фрэнк Дарабонт,драма,,,"Тим Роббинс,Морган Фриман,Боб Гантон,Уильям Сэдлер,Клэнси Браун,Гил Беллоуз,Джеймс Уитмор",142 мин,25 млн
Властелин колец: Возвращение короля,2003,Питер Джексон,"боевик,приключение,драма",Питер Джексон,[1],"Элайджа Вуд,Иэн Маккеллен,Лив Тайлер,Вигго Мортенсен,Шон Эстин,Кейт Бланшетт,Джон Рис-Дэвис,Бернард Хилл,Билли Бойд,Доминик Монаган,Орландо Блум,Хьюго Уивинг,Миранда Отто,Дэвид Уэнем,Карл Урбан,Джон Ноубл,Энди Серкис,Иэн Холм,Шон Бин",201 мин,94 млн
Бойцовский клуб,1999,Дэвид Финчер,драма,"Арт Линсон,Сиан Чаффин,Росс Грэйсон Белл",,"Эдвард Нортон,Брэд Питт,Хелена Бонэм Картер,Мит Лоуф,Джаред Лето",139 мин.,63 млн 
Форрест Гамп,1994,Роберт Земекис,"драма,романтический фильм","Венди Файнерман,ru,Стив Тиш,ru",[1],"Том Хэнкс,Робин Райт,Гэри Синиз,Майкелти Уильямсон,Салли Филд",142 мин,55 млн
Властелин колец: Две крепости,2002,Питер Джексон,"боевик,приключение,драма",Питер Джексон,[1],"Элайджа Вуд,Иэн Маккеллен,Лив Тайлер,Вигго Мортенсен,Шон Эстин,Кейт Бланшетт,Джон Рис-Дэвис,Бернард Хилл,Кристофер Ли,Билли Бойд,Доминик Монаган,Орландо Блум,Хьюго Уивинг,Миранда Отто,Дэвид Уэнем,Брэд Дуриф,Карл Урбан,Энди Серкис",179 мин,94 млн
Властелин колец: Братство Кольца,2001,Питер Джексон,"боевик,приключение,драма","Питер Джексон,Тим Сандерс",[1],"Элайджа Вуд,Иэн Маккеллен,Лив Тайлер,Вигго Мортенсен,Шон Эстин,Кейт Бланшетт,Джон Рис-Дэвис,Билли Бойд,Доминик Монаган,Орландо Блум,Кристофер Ли,Хьюго Уивинг,Шон Бин,Иэн Холм,Энди Серкис",178 мин,93 млн
Криминальное чтиво,1994,Квентин Тарантино,"детектив,драма","[en],[en],[en],[en]",,"Джон Траволта,Сэмюэл Л. Джексон,Брюс Уиллис,Ума Турман",154 мин,8 млн 
Начало,2010,Кристофер Нолан,"боевик,приключение,научная фантастика",Кристофер Нолан,,"Леонардо Ди Каприо,Кэн Ватанабэ,Джозеф Гордон-Левитт,Эллен Пейдж,Марион Котийяр,Том Харди,Киллиан Мёрфи,Том Беренджер,Дилип Рао,Майкл Кейн",148 мин.,160 млн $
"Хороший, плохой, злой",1966,Серджо Леоне,"приключение,вестерн",,Италия,"Клинт Иствуд,Ли Ван Клиф,Илай Уоллак", 161 мин,"1,2 млн долл."
Спасти рядового Райана,1998,Стивен Спилберг,"драма,военный фильм","Гэри Левинсон,ru",,"Том Хэнкс,Эдвард Бёрнс,Мэтт Деймон,Том Сайзмор",169 минут,70 000 000 
Молчание ягнят,1991,Джонатан Демми,"детектив,драма,триллер","Кеннет Утт,Эдвард Саксон,Рональд Бозман",,"Энтони Хопкинс,Джоди Фостер,Скотт Гленн,Тед Левин",118 минут, 19 млн
Список Шиндлера,1993,Стивен Спилберг,"байопик,драма,исторический фильм",Стивен Спилберг,,"Лиам Нисон,Бен Кингсли,Рэйф Файнс",197 мин,22 млн 
12 разгневанных мужчин,1957,Сидни Люмет,"детектив,драма",,США,,96 мин.,340 тыс. 
Крёстный отец 2,1974,Фрэнсис Форд Коппола,"детектив,драма",Фрэнсис Форд Коппола,,"Аль Пачино,Роберт Дюваль,Дайан Китон,Роберт Де Ниро,Талия Шайр,Джон Казале,Марианна Хилл,Ли Страсберг",202 мин,13 млн
Похитители велосипедов,1948,Витторио де Сика,драма,,Италия,"Ламберто Маджорани,Энцо Стайола",93 мин.,133 000 $
Тёмный рыцарь,2008,Кристофер Нолан,"боевик,детектив,драма",,США,"Кристиан Бейл,Хит Леджер,Гэри Олдмен,Аарон Экхарт",152 мин,185 млн 
Крёстный отец,1972,Фрэнсис Форд Коппола,"детектив,драма","Альберт Радди,ru",,"Марлон Брандо,Аль Пачино,Джеймс Каан,Ричард Кастеллано,Роберт Дюваль,Стерлинг Хэйден,Джон Марли,Ричард Конте,Дайан Китон",175 мин," 6-7,2 млн"
Ненависть,1995,Матьё Кассовиц,"детектив,драма",,,"Венсан Кассель,Юбер Кунде,Саид Тагмауи",96 мин.,2 600 000 $
Суперсемейка,2004,Брэд Бёрд,"мультфильм,боевик,приключение",Джон Уокер,,,115 мин.,92 млн. 
Изгоняющий дьявола,1973,Уильям Фридкин,хоррор,,США,"Эллен Бёрстин,Джейсон Миллер",122 ± 1 мин,12 млн 
Лучшие годы нашей жизни,1946,Уильям Уайлер,"драма,романтический фильм,военный фильм",,США,"Фредрик Марч,Дана Эндрюс,Мирна Лой",172 мин,"2,1 млн "
Ребекка,1940,Альфред Хичкок,"драма,нуар,фильм-тайна",,США,"Лоренс Оливье,Джоан Фонтейн",126 мин,≈ 1 млн 288 тыс. $
День сурка,1993,Гарольд Рэмис,"кинокомедия,драма,фэнтези",Тревор Альберт,США,"Билл Мюррей,Энди Макдауэлл",101 минута,"14,6 млн"
Служанка,2016,Пак Чхан Ук,"драма,романтический фильм,триллер","Пак Чхан Ук,Сид Лим",Республика Корея,"Ким Мин Хи,Ким Тэ Ри,Ха Чон У",144 минуты,10 млрд 
Мой отец и мой сын,2005,Чаган Ырмак,"драма,семейный фильм",,Турция,,108 мин,
Дерсу Узала,1975,Акира Куросава,"приключение,байопик,драма",,,"Юрий Соломин,Максим Мунзук",144 минуты,4 млн
Танцующий с волками,1990,Кевин Костнер,"приключение,драма,вестерн",,,"Кевин Костнер,Мэри Макдоннелл,Грэм Грин,Родни Грант,Флойд Вестерман,Уэс Стьюди",236 мин.,22 млн 
Прислуга,2011,Тейт Тейлор,драма,,,"Виола Дэвис,Эмма Стоун,Брайс Даллас Ховард,Октавия Спенсер,Джессика Честейн",146 минут,25 млн 
Стальной гигант,1999,Брэд Бёрд,"мультфильм,боевик,приключение","Эллисон Эббейт , Дес Маканафф",[1],,87 мин.,$ 50 млн. 
Житие Брайана по Монти Пайтону,1979,Терри Джонс,кинокомедия,,,"Грэхэм Чэпмен,Джон Клиз,Терри Гиллиам,Эрик Айдл,Терри Джонс,Майкл Палин",94 мин.,$4 млн
Аладдин,1992,Джон Маскер,"мультфильм,приключение,кинокомедия","Джон Маскер,Рон Клементс",,,90 мин,28 млн
Персона,1966,Ингмар Бергман,"драма,триллер",,Швеция,"Биби Андерсон,Лив Ульман",85 мин.,
Четыреста ударов,1959,Франсуа Трюффо,"детектив,драма",,,"Жан-Пьер Лео,Клер Морье,Альберт Реми,Ги Декомбль",99 мин.,
Это случилось однажды ночью,1934,Фрэнк Капра,"кинокомедия,романтический фильм","Фрэнк Капра,Гарри Кон",США,"Клодетт Кольбер,Кларк Гейбл",105 мин,325 тыс. $
Звуки музыки,1965,Роберт Эрл Уайз,"байопик,драма,семейный фильм",Роберт Уайз,США,"Джули Эндрюс,Кристофер Пламмер,Ричард Гайдн,Пегги Вуд,Анна Ли,Бен Райт,Элинор Паркер",174 мин,8 020 000 
Хладнокровный Люк,1967,Стюарт Розенберг,"детектив,драма",Гордон Кэрролл,,"Пол Ньюман,Джордж Кеннеди,Роберт Дривас,Лу Антонио",126 мин.,3 200 000 $
Сука любовь,2000,Алехандро Гонсалес Иньярриту,"драма,триллер",,,"Ванесса Бауче,Гаэль Гарсия Берналь,Альваро Герреро,Гойя Толедо,Эмилио Эчеварриа",154 минуты,2 000 000 
Песнь дороги,1955,Сатьяджит Рай,драма,правительство ,,"Каню Баннерджи,Каруна Баннерджи,Субир Баннерджи",115 мин.,150 000 ₹
Гроздья гнева,1940,Джон Форд,драма,,США,,128 мин,750 тыс. 
Битва за Алжир,1966,Джилло Понтекорво,"драма,военный фильм",,,"Жан Мартен,Брахим Хаджадж,Саади Ясеф",121 мин,806 735 $
Хатико: Самый верный друг,2009,Лассе Халльстрём,"байопик,драма,семейный фильм",Билл Джонсон,,"Джоан Аллен,Сара Ремер,Джейсон Александер",93 мин,16 млн
Пираты Карибского моря: Проклятие «Чёрной жемчужины»,2003,Гор Вербински,"боевик,приключение,фэнтези",,США,"Джонни Депп,Орландо Блум,Кира Найтли,Джеффри Раш,Джек Дэвенпорт,Джонатан Прайс,Ли Аренберг,Маккензи Крук,Дэмиан О’Хейр,Джиллз Нью",143 мин,140 млн 
Да прольётся свет,2021,Т. Дж. Гнанавел,"детектив,драма,фильм-тайна",,,,,
Быть или не быть,1942,Эрнст Любич,"кинокомедия,романтический фильм,военный фильм",Эрнст Любич,,"Джек Бенни,Кэрол Ломбард,Роберт Стэк",99 мин.,1 200 000 $
В диких условиях,2007,Шон Пенн,"приключение,байопик,драма",,,Эмиль Хирш,148 мин,15 млн 
Волшебник страны Оз,1939,Виктор Флеминг,"приключение,семейный фильм,фэнтези",,США,"Джуди Гарленд,Фрэнк Морган,Рэй Болджер,Джек Хейли,Бёрт Лар",101 мин.,2 млн 
Перед закатом,2004,Ричард Линклейтер,"драма,романтический фильм",,,"Итан Хоук,Жюли Дельпи",80 мин,"2,7 млн "
Телесеть,1975,Сидни Люмет,драма,,,,121 мин.,"3,8 млн "
Гонка,2013,Рон Ховард,"боевик,байопик,драма",Hans Zimmer,,"Крис Хемсворт,Даниэль Брюль,Оливия Уайлд",123 мин.,38 млн 
Останься со мной,1986,Роб Райнер,"приключение,драма",,США,"Уил Уитон,Ривер Феникс,Кори Фельдман,Джерри О'Коннелл,Ричард Дрейфусс",90 мин.,8 млн 
Терминатор,1984,Джеймс Кэмерон,"боевик,научная фантастика",,,"Арнольд Шварценеггер,Майкл Бин,Линда Хэмилтон,Лэнс Хенриксен",107 мин.,"6,4 млн "
В центре внимания,2015,Томас Маккарти,"байопик,детектив,драма","Блай Пэгон Фауст,Стив Голин,Николь Роклин,Майкл Шугар",,"Марк Руффало,Майкл Китон,Рэйчел Макадамс,Лев Шрайбер,Джон Слэттери,Стэнли Туччи",129 минут,20 млн $
Логан,2017,Джеймс Мэнголд,"боевик,драма,научная фантастика",Хатч Паркер,,"Хью Джекман,Патрик Стюарт,Ричард Э. Грант,Бойд Холбрук,Стивен Мерчант,Дафни Кин",137 мин,97–127 млн
Отель Руанда,2004,Терри Джордж,"байопик,драма,исторический фильм", ,,"Дон Чидл,Софи Оконедо,Жан Рено,Хоакин Феникс,Ник Нолти",121 мин.,"17,5 млн "
Страсти Жанны д’Арк,1928,Карл Теодор Дрейер,"байопик,драма,исторический фильм",,,Рене Фальконетти,82 минуты ,
Взвод,1986,Оливер Стоун,"драма,военный фильм",,,"Чарли Шин,Том Беренджер,Уиллем Дефо",120 мин.,$ 6 млн 
Ford против Ferrari,2019,Джеймс Мэнголд,"боевик,байопик,драма","Алекс Янг, , , (,Лукас Фостер, , , (,Кевин Хэллоран,Джеймс Мэнголд",,"Кристиан Бейл,Мэтт Деймон",152 мин.,"97,6 млн"
Токийская повесть,1953,Ясудзиро Одзу,драма,,Япония,"Тисю Рю,Тиэко Хигасияма,Сэцуко Хара,Харуко Сугимура",136 мин,
Рататуй,2007,Брэд Бёрд,"мультфильм,приключение,кинокомедия",Брэд Льюис,,,111 мин,150 млн 
Рокки,1976,Джон Эвилдсен,"драма,фильм о спорте",,,"Талия Шайр,Берт Янг,Карл Уэзерс,Бёрджесс Мередит",119 мин,"1—1,1 млн "
Большой Лебовски,1998,Братья Коэн,"кинокомедия,детектив",,,"Джефф Бриджес,Джон Гудмен,Джулианна Мур,Стив Бушеми,Дэвид Хаддлстон,Филип Сеймур Хоффман",117 минут, 15 млн
Комната,2015,Ленни Абрахамсон,"драма,триллер","Дэвид Гросс,Эд Гини",,"Бри Ларсон,Джейкоб Трамбле",118 мин.,13 млн $
Челюсти,1975,Стивен Спилберг,"приключение,триллер",,,"Рой Шайдер,Роберт Шоу,Ричард Дрейфус,Лоррейн Гэри",Театральная версия:, 9 млн
Седьмая печать,1957,Ингмар Бергман,"драма,фэнтези",,,"Макс фон Сюдов,Гуннар Бьёрнстранд,Биби Андерссон",96 мин.,
Корпорация монстров,2001,Пит Доктер,"мультфильм,приключение,кинокомедия",,,,92 мин,115 млн 
Общество мёртвых поэтов,1989,Питер Уир,"кинокомедия,драма","Пол Уитт,Тони Томас",,Робин Уильямс,128 мин.,"16,4 млн $"
Мэри и Макс,2009,Адам Эллиот,"мультфильм,кинокомедия,драма",Мелани Кумбс,,,90 мин,8 240 000 A$
Как приручить дракона,2010,Крис Сандерс,"мультфильм,боевик,приключение",,,,98 минут,165 млн.
Безумный Макс: Дорога ярости,2015,Джордж Миллер,"боевик,приключение,научная фантастика",,,"Том Харди,Шарлиз Терон,Николас Холт,Хью Кияс-Бёрн",120 мин,150 млн 
Мистер Смит едет в Вашингтон,1939,Фрэнк Капра,"кинокомедия,драма",Фрэнк Капра,США,"Джеймс Стюарт,Джин Артур,Клод Рейнс",129 мин,"1,5 млн "
Дикие истории,2014,"Шифрон, Дамиан","кинокомедия,драма,триллер","Агустин Альмодовар,Уго Сигман,Эстер Гарсия,Матиас Мостейрин",Аргентина,"Рикардо Дарин,Оскар Мартинес,Леонардо Сбаралья,Эрика Ривас,Рита Кортезе",122 мин,$ 3 300 000
Шерлок-младший,1924,Бастер Китон,"боевик,кинокомедия,романтический фильм",Бастер Китон,США,Кэтрин Макгуайр,44 мин,
Плата за страх,1953,Анри-Жорж Клузо,"приключение,драма,триллер","Раймон Бордери,,Анри-Жорж Клузо",,"Ив Монтан,Шарль Ванель",156 мин.,
Воспоминания об убийстве,2003,Пон Чжун Хо,"детектив,драма,фильм-тайна","Чха Сын Чжэ,Но Чон Юн",,"Сон Кан Хо,Ким Сан Гён,Пак Но Сик",132 мин,$2 800 000
Третий человек,1949,Кэрол Рид,"нуар,фильм-тайна,триллер","(в США — ,)",Великобритания,"Джозеф Коттен,Алида Валли",104 мин. (видео),
По соображениям совести,2016,Мел Гибсон,"байопик,драма,исторический фильм","Терри Бенедикт,Пол Карри,Уильям Д. Джонсон,Билл Меканик,Брайан Оливер,Дэвид Пермут",,,139 мин.,40 млн 
Охотник на оленей,1978,Майкл Чимино,"драма,военный фильм","[en],Джон Певералл",,"Роберт Де Ниро,Кристофер Уокен,Мерил Стрип",183 мин.,15 млн 
Во имя отца,1993,Джим Шеридан,"байопик,детектив,драма","Джим Шеридан, (исполнительный продюсер)",,"Дэниел Дэй-Льюис,Пит Постлетуэйт,Эмма Томпсон",133 мин.,
Земляничная поляна,1957,Ингмар Бергман,"драма,романтический фильм",,,"Виктор Шёстрём,Ингрид Тулин,Биби Андерссон",90 мин.,
Генерал,1927,Клайд Брукман,"боевик,приключение,кинокомедия",Бастер Китон ,США,Мэрион Мак,75 минут,$ 415 232
Исчезнувшая,2014,Дэвид Финчер,"драма,фильм-тайна,триллер","Джошуа Донен,Сиан Чаффин",,"Бен Аффлек,Розамунд Пайк,Нил Патрик Харрис,Тайлер Перри",149 мин,61 млн 
В порту,1954,Элиа Казан,"детектив,драма,триллер",,США,Марлон Брандо,108 мин,902 тыс.
Барри Линдон,1975,Стэнли Кубрик,"приключение,драма,военный фильм",,,"Райан О’Нил,Мариса Беренсон,Патрик Мэги,Харди Крюгер,Мюррей Мелвин",184 мин,12 млн 
Бен-Гур,1959,Уильям Уайлер,"приключение,драма",Сэм Зимбалист,США,"Чарлтон Хестон,Джек Хоукинс,Хайя Харарит,Стивен Бойд,Хью Гриффит",222 мин,15 млн 
Отель «Гранд Будапешт»,2014,Уэс Андерсон,"приключение,кинокомедия,детектив","Джереми Доусон,Стивен Рейлс",[3],"Рэйф Файнс,Тони Револори",100 мин,23 млн €
12 лет рабства,2013,Стив Маккуин,"байопик,драма,исторический фильм","Джереми Кляйнер,Билл Похлад",,"Чиветел Эджиофор,Майкл Фассбендер,Брэд Питт,Бенедикт Камбербэтч",133 мин,20 млн 
Перед рассветом,1995,Ричард Линклейтер,"драма,романтический фильм",,,"Итан Хоук,Жюли Дельпи",105 минут,2 500 000 
Золотая лихорадка,1925,Чарли Чаплин,"приключение,кинокомедия,драма",,США,"Чарли Чаплин,Джорджия Хейл,Мак Суэйн",96 минут (оригинальная версия),923 тысяч 
Дети небес,1997,Маджид Маджиди,"драма,семейный фильм,фильм о спорте", ,,"Мохаммад Амир Наджи,Амир Фарох Хашемян,Бахаре Саддики,Нафисе Джафар-Мохаммади",89 мин,180 тыс. 
Гарри Поттер и Дары Смерти. Часть 2,2011,Дэвид Йейтс,"приключение,семейный фильм,фэнтези",,,"Дэниел Рэдклифф,Рэйф Файнс,Руперт Гринт,Эмма Уотсон,Алан Рикман",148 мин., 125 млн
Клаус,2019,Серхио Паблос,"мультфильм,приключение,кинокомедия","Дзинко Гото,Серхио Паблос,Мариса Роман, , , (",Испания,"Джейсон Шварцман,Дж. К. Симмонс,Рашида Джонс,Джоан Кьюсак",96 мин,40 000 000 $
Малышка на миллион,2004,Клинт Иствуд,"драма,фильм о спорте","Клинт Иствуд,Альберт Рудди,ru,Том Розенберг,ru",,"Хилари Суэнк,Морган Фримен",132 мин.,30 млн 
Бегущий по лезвию,1982,Ридли Скотт,"боевик,драма,научная фантастика",,,"Харрисон Форд,Шон Янг,Рутгер Хауэр",117 мин,$ 22-30 млн
Мой сосед Тоторо,1988,Хаяо Миядзаки,"мультфильм,кинокомедия,семейный фильм",,,,,
"Поймай меня, если сможешь",2002,Стивен Спилберг,"байопик,детектив,драма",,,"Леонардо Ди Каприо,Том Хэнкс,Кристофер Уокен,Мартин Шин,Эми Адамс",141 мин.,52 млн 
Гран Торино,2008,Клинт Иствуд,драма,",",США,"Клинт Иствуд,Кристофер Карли,Би Ванг",116 мин.,33 млн. 
Воин,2011,Гэвин О’Коннор,"боевик,драма,фильм о спорте",Грег О’Коннор,,"Джоэл Эдгертон,Том Харди,Ник Нолти,Дженнифер Моррисон,Фрэнк Грилло",140 мин.,25 млн $
Фарго,1996,Братья Коэн,"детектив,триллер",Итан Коэн,,,98 мин.,7 млн 
Мост через реку Квай,1957,Дэвид Лин,"приключение,драма,военный фильм",,,"Уильям Холден,Джек Хокинс,Алек Гиннесс,Сэссю Хаякава",161 мин.,3 млн 
На игле,1996,Дэнни Бойл,драма,Эндрю Макдональд,Великобритания,"Юэн Макгрегор,Джонни Ли Миллер,Роберт Карлайл,Юэн Бремнер,Кевин Маккидд,Келли Макдональд",94 мин,"1,5 млн "
Пленницы,2013,Дени Вильнёв,"детектив,драма,фильм-тайна","Кира Дэвис,Бродерик Джонсон,Адам Колбеннер,Эндрю Косоув",,"Хью Джекман,Джейк Джилленхол",153 мин,46 млн. 
Ходячий замок,2004,Хаяо Миядзаки,"мультфильм,приключение,семейный фильм",,,,,
"Карты, деньги, два ствола",1998,Гай Ричи,"боевик,кинокомедия,детектив",,,"Ник Моран,Джейсон Флеминг,Декстер Флетчер,Джейсон Стейтем,Винни Джонс",106 мин.,960 000 
В случае убийства набирайте «М»,1954,Альфред Хичкок,"детектив,триллер",Альфред Хичкок,,"Грейс Келли,Рэй Милланд,Роберт Каммингс,Джон Уильямс",105 мин.,"1,4 млн "
Унесённые ветром,1939,Виктор Флеминг,"драма,романтический фильм,военный фильм",,,"Вивьен Ли,Кларк Гейбл,Лесли Говард,Оливия де Хэвилленд",238 мин,"3,85 млн "
"Три билборда на границе Эббинга, Миссури",2017,Мартин Макдонах,"кинокомедия,детектив,драма","Грэм Бродбент, , , (,Питер Чернин,Мартин Макдонах",,"Фрэнсис Макдорманд,Вуди Харрельсон,Сэм Рокуэлл",115 мин., 12 млн
Тайна в его глазах,2009,Хуан Хосе Кампанелья,"драма,фильм-тайна,романтический фильм",",,,",,"Рикардо Дарин,Пабло Раго,Соледад Вильямиль,Хавьер Годино",127 мин.,2 млн 
Головоломка,2015,Пит Доктер,"мультфильм,приключение,кинокомедия",Йонас Ривера,США,,95 мин,175 млн
V — значит вендетта,2006,Джеймс Мактиг,"боевик,драма,научная фантастика",,США,"Натали Портман,Хьюго Уивинг,Стивен Ри,Стивен Фрай,Джон Хёрт",132 мин,54 млн долл.
Бешеный бык,1980,Мартин Скорсезе,"байопик,драма,фильм о спорте",,,"Роберт Де Ниро,Джо Пеши,Кэти Мориарти",129 мин.,18 млн 
Китайский квартал,1974,Роман Полански,"драма,фильм-тайна,триллер",,,"Джек Николсон,Фэй Данауэй,Джон Хьюстон",131 мин.,6 млн 
Человек-слон,1980,Дэвид Линч,"байопик,драма"," , ",,"Энтони Хопкинс,Джон Хёрт,Энн Бэнкрофт",124 мин,5 млн долл.
Расёмон,1950,Акира Куросава,"детектив,драма,фильм-тайна",,,"Тосиро Мифунэ,Матико Кё,Масаюки Мори,Такаси Симура,рус.",88 мин.,250 тыс. долл.
В поисках Немо,2003,Эндрю Стэнтон,"мультфильм,приключение,кинокомедия",,,,104 минуты,94 млн 
Нечто,1982,Джон Карпентер,"хоррор,фильм-тайна,научная фантастика","Лоуренс Турман,Лоуренс Турман,Лоуренс Турман",США,"Курт Расселл,Кит Дэвид,Уилфорд Бримли,Дэвид Кленнон",109 мин., 15 млн
Стражи Галактики. Часть 3,2023,Джеймс Ганн,"боевик,приключение,кинокомедия",,,"Крис Прэтт,Зои Салдана,Дейв Батиста,Карен Гиллан,Пом Клементьефф,Вин Дизель,Брэдли Купер,Уилл Поултер,Шон Ганн,Линда Карделлини,Нейтан Филлион,Сильвестр Сталлоне",150 мин,250 млн
Человек-паук: Нет пути домой,2021,Джон Уоттс,"боевик,приключение,фэнтези",,,"Том Холланд,Зендея,Бенедикт Камбербэтч,Джейкоб Баталон,Джон Фавро,Джейми Фокс,Уиллем Дефо,Альфред Молина,Бенедикт Вонг,Тони Револори,Мариса Томей,Эндрю Гарфилд,Тоби Магуайр",,200 млн
Большой побег,1963,Джон Стёрджес,"приключение,драма,исторический фильм","Джон Стёрджес,Джеймс Клавелл",США,"Стив Маккуин,Джеймс Гарнер,Ричард Аттенборо",172 мин,4 млн 
Убить Билла. Фильм 1,2003,Квентин Тарантино,"боевик,детектив,драма",,[1],"Ума Турман,Люси Лью,Вивика А. Фокс,Дэрил Ханна,Дэвид Кэррадайн,Майкл Мэдсен,Сонни Тиба,Тиаки Курияма",111 минут,30 млн $
Старикам тут не место,2007,Братья Коэн,"детектив,драма,триллер",Джоэл и Итан Коэн,,"Томми Ли Джонс,Хавьер Бардем,Джош Бролин",122 мин.,25 млн 
Монти Пайтон и Священный Грааль,1975,Терри Гиллиам,"приключение,кинокомедия,фэнтези",,Великобритания,"Джон Клиз,Эрик Айдл,Грэхэм Чэпмен,Майкл Пейлин,Терри Гиллиам,Терри Джонс",90 мин.,400 тыс. 
Сокровища Сьерра-Мадре,1948,Джон Хьюстон,"приключение,драма,вестерн"," , ",,"Хамфри Богарт,Уолтер Хьюстон,Тим Хольт",126 мин,3 000 000 
Телохранитель,1961,Акира Куросава,"боевик,драма,триллер",Акира Куросава,,"Тосиро Мифунэ,Тацуя Накадай,Такаси Симура,Исудзу Ямада",110 мин,90 870 000 ¥
Игры разума,2001,Рон Ховард,"байопик,драма",,,"Рассел Кроу,Эд Харрис,Дженнифер Коннелли,Кристофер Пламмер,Пол Беттани",135 мин., 58 000 000
